"id","type","indicator","created_at","confidence","source","tags","tlp","notes"
"dab9310a-2d6d-4387-8d49-9875a9581260","URL","https://www.cumulus-reviews.com/","2026-08-31T01:20:49.287Z","-1","MIGROS-CDC","phishing;brand-abuse;migros","TLP:CLEAR","n/a"
"4be62d0b-2cee-4e87-8558-827776da5b70","URL","https://cumulus-feedback.com","2026-08-21T07:08:43.682Z","-1","MIGROS-CDC","phishing;brand-abuse;migros","TLP:CLEAR","n/a"
"ad9b5195-dd8b-4fdc-a7a4-9fe8c34cad97","URL","https://mein-treuefeedback.com","2026-09-21T09:31:20.158Z","-1","MIGROS-CDC","phishing;brand-abuse;migros","TLP:CLEAR","n/a"
